instance_name,best_model,local_max_k
shift_register_top_w16_d16_e0,exponential,12
qspiflash_qflexpress_divfive-p038,linear,10
oski15a14b18s,linear,10
arbitrated_top_n2_w128_d32_e0,exponential,17
qspiflash_qflexpress_divfive-p104,exponential,17
qspiflash_dualflexpress_divfive-p016,polynomial,-1
neclaftp2002,linear,10
pdtvisminmax0,linear,10
6s4,linear,10
zipcpu-busdelay-p00,exponential,20
picorv32_mutAX_nomem-p2,exponential,9
pdtvsarmultip13,linear,10
beemptrsn1b1,linear,10
6s209b0,linear,10
bobtuint19neg,linear,10
arbitrated_top_n3_w8_d128_e0,exponential,18
6s206rb103,linear,10
pcip1,linear,10
srg5ptimo,linear,10
pdtvistwoall3,linear,10
zipcpu-pfcache-p13,linear,10
kenflashp07,linear,10
circular_pointer_top_w16_d32_e0,polynomial,-1
picorv32_mutAY_nomem-p6,exponential,7
cal21,exponential,11
6s404rb1,polynomial,-1
picorv32-check-p12,linear,10
arbitrated_top_n2_w8_d16_e0,polynomial,-1
139444p0,linear,10
cal106,exponential,5
intel004,polynomial,-1
6s205b20,linear,10
csmacdp2,linear,10
cal97,exponential,5
intel061,linear,10
zipcpu-busdelay-p46,exponential,27
kenflashp04,linear,10
nusmvreactorp4,polynomial,-1
h_TreeArb,polynomial,-1
simple_alu,polynomial,-1
qspiflash_qflexpress_divfive-p094,polynomial,-1
oski15a01b63s,linear,10
6s406rb067,linear,10
oski2b1i,linear,10
bjrb07amba4andenv,polynomial,-1
power2eq65536,polynomial,-1
power2sum128,polynomial,-1
nusmvguidancep8,polynomial,-1
qspiflash_dualflexpress_divfive-p161,polynomial,-1
cal117,exponential,5
oski15a01b27s,linear,10
arbitrated_top_n4_w16_d16_e0,polynomial,-1
dspfilters_fastfir_second-p25,polynomial,-1
picorv32-check-p20,polynomial,-1
oski15a14b33s,polynomial,-1
6s342rb131,linear,10
zipcpu-zipmmu-p02,polynomial,-1
6s309b034,polynomial,-1
zipcpu-zipmmu-p00,polynomial,-1
cal119,exponential,5
pdtswvtms12x8p1,polynomial,-1
cal107,polynomial,-1
picorv32-check-p09,polynomial,-1
bobsmi2c,polynomial,-1
pdtvisvsar22,linear,10
vis_arrays_am2901,exponential,12
rast-p01,linear,10
qspiflash_dualflexpress_divthree-p034,exponential,27
qspiflash_dualflexpress_divthree-p069,polynomial,-1
cmugigamax,polynomial,-1
arbitrated_top_n5_w8_d32_e0,exponential,22
pj2016,linear,10
139444p22,linear,10
zipcpu-pfcache-p28,linear,10
texaspimainp05,polynomial,-1
oski15a01b45s,linear,10
pdtpmstwo,polynomial,-1
intel063,polynomial,-1
oski15a08b08s,polynomial,-1
oski15a14b25s,linear,10
6s344rb054,linear,10
