instance_name,best_model,local_max_k
dspfilters_fastfir_second-p16,nonlinear,10.0
dspfilters_fastfir_second-p21,nonlinear,10.0
dspfilters_fastfir_second-p25,nonlinear,10.0
eijkbs1512,nonlinear,10.0
eijkbs4863,nonlinear,10.0
eijks1196,nonlinear,10.0
eijks1238,nonlinear,10.0
eijks1423,nonlinear,10.0
eijks208c,linear,10.0
eijks208o,linear,10.0
eijks298,linear,10.0
eijks344,linear,10.0
eijks349,nonlinear,10.0
eijks386,nonlinear,10.0
eijks420,linear,10.0
eijks444,linear,10.0
eijks510,nonlinear,10.0
eijks713,nonlinear,10.0
eijks820,nonlinear,10.0
eijks832,nonlinear,10.0
eijks953,nonlinear,10.0
gen10,nonlinear,10.0
gen12,nonlinear,10.0
gen14,nonlinear,10.0
gen21,nonlinear,10.0
gen31,nonlinear,10.0
gen35,nonlinear,10.0
gen39,nonlinear,10.0
h_TreeArb,nonlinear,10.0
intel001,linear,10.0
intel003,linear,10.0
intel004,linear,10.0
intel007,nonlinear,10.0
intel009,nonlinear,10.0
intel012,nonlinear,10.0
intel017,linear,10.0
intel020,linear,10.0
intel023,linear,10.0
intel024,linear,10.0
intel026,linear,10.0
intel031,nonlinear,10.0
intel035,nonlinear,10.0
intel036,nonlinear,10.0
intel037,nonlinear,10.0
intel038,nonlinear,10.0
intel039,nonlinear,10.0
intel040,nonlinear,10.0
intel042,nonlinear,10.0
intel043,nonlinear,10.0
intel044,nonlinear,10.0
intel045,nonlinear,10.0
intel046,nonlinear,10.0
intel047,nonlinear,10.0
intel056,nonlinear,10.0
intel057,linear,10.0
intel059,nonlinear,10.0
intel061,linear,10.0
intel063,linear,10.0
intersymbol_analog_estimation_convergence,nonlinear,10.0
irstdme5,linear,10.0
irstdme6,nonlinear,10.0
kenflashp01,linear,10.0
kenflashp03,linear,10.0
kenflashp04,linear,10.0
kenflashp07,linear,10.0
kenflashp08,linear,10.0
kenflashp09,linear,10.0
kenflashp10,linear,10.0
kenflashp11,nonlinear,10.0
kenflashp13,linear,10.0
kenoopp1,linear,10.0
marlann_compute_cp_fail1-p2,linear,10.0
marlann_compute_cp_fail2-p0,linear,10.0
marlann_compute_cp_pass-p2,linear,10.0
mentorbm1and,nonlinear,10.0
mentorbm1or,linear,10.0
mentorbm1p01,linear,10.0
mentorbm1p02,nonlinear,10.0
mentorbm1p05,linear,10.0
mentorbm1p07,nonlinear,10.0
mentorbm1p09,nonlinear,10.0
miim,linear,10.0
mul7,nonlinear,10.0
mutexp0,linear,10.0
ndista128,linear,10.0
ndista262144,linear,10.0
neclabakery001,linear,10.0
neclaftp1002,nonlinear,10.0
neclaftp2001,nonlinear,10.0
neclaftp2002,nonlinear,10.0
neclaftp4001,nonlinear,10.0
neclaftp4002,linear,10.0
neclaftp5001,linear,10.0
neclatcas1a001,nonlinear,10.0
nusmvbrp,linear,10.0
nusmvguidancep1,linear,10.0
nusmvguidancep6,nonlinear,10.0
nusmvguidancep8,nonlinear,10.0
nusmvreactorp1,linear,10.0
nusmvreactorp3,linear,10.0
nusmvreactorp4,linear,10.0
nusmvreactorp5,linear,10.0
nusmvreactorp6,linear,10.0
nusmvsyncarb10p2,linear,10.0
nusmvsyncarb5p2,linear,10.0
nusmvtcasp2,linear,10.0
nusmvtcasp3,nonlinear,10.0
nusmvtcastp3,nonlinear,10.0
oc8051gm0caddr,linear,10.0
oc8051gm12data,nonlinear,10.0
oc8051gm15addr,linear,10.0
oc8051gm1edata,linear,10.0
oc8051gm2daddr,nonlinear,10.0
oc8051gm36addr,linear,10.0
oc8051gm58addr,linear,10.0
oc8051gm68addr,linear,10.0
oc8051gm7daddr,linear,10.0
oc8051gm98addr,nonlinear,10.0
