instance_name,K,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size,cadical_solving_time
6s391rb379,10,linear,24809306,24,1033721.08,2,5,
6s4,10,linear,4483548,96,46703.62,4,16,
6s400rb07819,10,linear,167462766,20,8373138.30,2,2,
6s405rb611,10,linear,315834118,10,31583411.80,1,1,
6s406rb067,10,linear,306109801,10,30610980.10,1,1,
6s41,1,exponential,984986,1,984986.00,1,1,
6s41,2,exponential,1563237,2,781618.50,1,1,
6s41,3,exponential,2074078,11,188552.55,3,4,
6s41,4,exponential,2700483,9,300053.67,1,3,
6s41,5,exponential,3294153,5,658830.60,1,1,
6s41,6,exponential,3837740,17,225749.41,2,3,
6s41,7,exponential,4381326,14,312951.86,1,3,
6s41,8,exponential,4924912,15,328327.47,1,3,
6s41,9,exponential,5698668,16,356166.75,1,3,
6s41,10,exponential,6265175,17,368539.71,1,3,
6s41,11,exponential,6950541,18,386141.17,1,3,
6s410rb043,1,exponential,52945081,6,8824180.17,6,6,
6s410rb043,2,exponential,80377870,2,40188935.00,1,1,
6s410rb043,3,exponential,110656365,11,10059669.55,2,5,
6s410rb043,4,exponential,140158765,4,35039691.25,1,1,
6s410rb043,5,exponential,168098498,222,757200.44,32,59,
6s410rb043,6,exponential,196038230,6,32673038.33,1,1,
6s428rb098,1,exponential,8664026,2,4332013.00,2,2,
6s428rb098,2,exponential,13437717,23,584248.57,2,21,
6s54,1,exponential,4509128,1,4509128.00,1,1,
6s54,2,exponential,7141125,3,2380375.00,1,2,
6s54,3,exponential,9501570,6,1583595.00,1,3,
6s54,4,exponential,12333075,10,1233307.50,1,4,
6s54,5,exponential,15030475,17,884145.59,1,6,
6s54,6,exponential,17525036,21,834525.52,1,6,
6s54,7,exponential,20019596,25,800783.84,1,6,
6s54,8,exponential,22514156,28,804077.00,1,6,
6s54,9,exponential,25949177,50,518983.54,1,11,
6s54,10,exponential,28537617,54,528474.39,1,11,
6s54,11,exponential,31610549,193,163785.23,1,46,
6s7,1,exponential,754087,1,754087.00,1,1,
6s7,2,exponential,1177202,5,235440.40,2,3,
6s7,3,exponential,1595261,15,106350.73,4,6,
