Benchmark,Min Time (s),Max Time (s),Avg Time (s),Count
139452p0.60.56,251,251,251.0,1
139463p0.60.7,1111,1111,1111.0,1
139453p0.60.36,1424,1424,1424.0,1
139454p0.60.48,1531,1531,1531.0,1
6s275rb318.60.58,1932,1932,1932.0,1
6s362rb1.60.11,531,531,531.0,1
6s275rb318.60.15,1888,1888,1888.0,1
6s325rb072.60.41,1555,1555,1555.0,1
6s43.60.27,3466,3466,3466.0,1
6s194.60.16,1342,1342,1342.0,1
6s326rb08.60.18,3833,3833,3833.0,1
139444p0.60.1,1,498,249.5,2
6s421rb083.60.55,3376,3376,3376.0,1
6s391rb379.60.9,1020,1020,1020.0,1
6s325rb072.60.16,1,1519,760.0,2
6s159.60.49,20,20,20.0,1
139464p0.60.6,4897,4897,4897.0,1
6s4.60.22,63,63,63.0,1
6s194.60.37,1005,1005,1005.0,1
6s391rb379.60.29,1141,1141,1141.0,1
6s421rb083.60.53,2852,2852,2852.0,1
6s325rb072.60.11,1155,1155,1155.0,1
139442p0.60.43,79,79,79.0,1
139453p0.60.58,1468,1468,1468.0,1
6s209b0.60.56,4351,4351,4351.0,1
6s326rb08.60.5,4534,4534,4534.0,1
6s277rb292.60.0,2274,2274,2274.0,1
6s275rb318.60.2,2276,2276,2276.0,1
139452p0.60.33,255,255,255.0,1
6s325rb072.60.56,1068,1068,1068.0,1
139444p0.60.31,494,494,494.0,1
139443p0.60.51,1,289,145.0,2
6s421rb083.60.40,2768,2768,2768.0,1
6s43.60.12,3037,3037,3037.0,1
6s362rb1.60.52,509,509,509.0,1
6s326rb08.60.31,5710,5710,5710.0,1
139442p0.60.49,79,79,79.0,1
6s43.60.45,4055,4055,4055.0,1
139442p0.60.10,1,78,39.5,2
139464p0.60.29,6516,6516,6516.0,1
6s194.60.59,1329,1329,1329.0,1
6s164.60.19,18,18,18.0,1
6s164.60.57,1,19,10.0,2
139444p0.60.26,543,543,543.0,1
6s317b14.60.16,1,9312,4656.5,2
6s43.60.11,2624,2624,2624.0,1
6s421rb083.60.38,3216,3216,3216.0,1
6s326rb08.60.29,6268,6268,6268.0,1
139442p0.60.48,78,78,78.0,1
6s317b14.60.7,9310,9310,9310.0,1
6s164.60.39,1,19,10.0,2
6s43.60.51,3644,3644,3644.0,1
139463p0.60.17,1522,1522,1522.0,1
139464p0.60.31,6716,6716,6716.0,1
6s164.60.23,18,18,18.0,1
6s194.60.56,1322,1322,1322.0,1
6s164.60.58,19,19,19.0,1
6s391rb379.60.31,1144,1144,1144.0,1
6s362rb1.60.22,516,516,516.0,1
6s325rb072.60.12,1047,1047,1047.0,1
139462p0.60.44,1474,1474,1474.0,1
139462p0.60.32,1,1425,713.0,2
139453p0.60.57,1458,1458,1458.0,1
6s209b0.60.59,3203,3203,3203.0,1
139443p0.60.1,273,273,273.0,1
6s326rb08.60.55,5441,5441,5441.0,1
6s159.60.26,21,21,21.0,1
6s277rb292.60.14,1997,1997,1997.0,1
139444p0.60.29,1,548,274.5,2
6s275rb318.60.30,2284,2284,2284.0,1
6s325rb072.60.59,1,1153,577.0,2
6s362rb1.60.46,499,499,499.0,1
6s317b14.60.5,10516,10516,10516.0,1
139463p0.60.15,1485,1485,1485.0,1
139463p0.60.25,1,1593,797.0,2
6s43.60.53,2892,2892,2892.0,1
139454p0.60.11,1,1417,709.0,2
139444p0.60.18,515,515,515.0,1
6s164.60.25,18,18,18.0,1
6s317b14.60.13,11030,11030,11030.0,1
6s421rb083.60.45,2762,2762,2762.0,1
139444p0.60.56,1,470,235.5,2
6s326rb08.60.54,5869,5869,5869.0,1
6s277rb292.60.3,1881,1881,1881.0,1
139442p0.60.37,1,78,39.5,2
139462p0.60.42,1475,1475,1475.0,1
139464p0.60.22,6487,6487,6487.0,1
6s209b0.60.10,3797,3797,3797.0,1
6s277rb292.60.16,1970,1970,1970.0,1
6s159.60.24,21,21,21.0,1
6s164.60.30,17,17,17.0,1
6s317b14.60.10,9122,9122,9122.0,1
6s421rb083.60.51,2823,2823,2823.0,1
139444p0.60.59,1,474,237.5,2
139442p0.60.41,79,79,79.0,1
6s277rb292.60.39,1643,1643,1643.0,1
139462p0.60.36,1431,1431,1431.0,1
139464p0.60.1,6058,6058,6058.0,1
6s326rb08.60.7,3872,3872,3872.0,1
6s209b0.60.13,3800,3800,3800.0,1
6s159.60.18,21,21,21.0,1
6s164.60.2,18,18,18.0,1
139452p0.60.35,254,254,254.0,1
6s362rb1.60.50,520,520,520.0,1
6s317b14.60.55,1,9735,4868.0,2
139462p0.60.9,1334,1334,1334.0,1
139454p0.60.12,1001,1001,1001.0,1
139444p0.60.24,447,447,447.0,1
6s159.60.0,22,22,22.0,1
139463p0.60.38,1488,1488,1488.0,1
139452p0.60.43,263,263,263.0,1
139464p0.60.11,6091,6091,6091.0,1
6s209b0.60.21,3874,3874,3874.0,1
6s326rb08.60.50,7789,7789,7789.0,1
6s391rb379.60.13,1037,1037,1037.0,1
139444p0.60.49,475,475,475.0,1
139462p0.60.28,1447,1447,1447.0,1
139442p0.60.33,78,78,78.0,1
6s317b14.60.20,1,8190,4095.5,2
6s277rb292.60.29,2287,2287,2287.0,1
139454p0.60.22,1040,1040,1040.0,1
139444p0.60.14,527,527,527.0,1
139463p0.60.19,1506,1506,1506.0,1
6s317b14.60.45,1,9220,4610.5,2
6s362rb1.60.6,520,520,520.0,1
6s194.60.24,1,1344,672.5,2
6s277rb292.60.31,2030,2030,2030.0,1
6s159.60.35,1,20,10.5,2
139454p0.60.1,1060,1060,1060.0,1
6s164.60.17,19,19,19.0,1
139444p0.60.0,521,521,521.0,1
6s43.60.7,2853,2853,2853.0,1
139463p0.60.23,1085,1085,1085.0,1
6s194.60.46,1,912,456.5,2
6s317b14.60.51,9379,9379,9379.0,1
6s275rb318.60.25,1,1983,992.0,2
6s362rb1.60.54,500,500,500.0,1
6s159.60.14,20,20,20.0,1
6s277rb292.60.26,2276,2276,2276.0,1
139463p0.60.40,1486,1486,1486.0,1
139464p0.60.12,6082,6082,6082.0,1
6s209b0.60.20,3814,3814,3814.0,1
6s391rb379.60.10,1047,1047,1047.0,1
6s326rb08.60.46,6437,6437,6437.0,1
139444p0.60.48,476,476,476.0,1
139442p0.60.27,1,79,40.0,2
6s317b14.60.21,8163,8163,8163.0,1
139454p0.60.6,1070,1070,1070.0,1
139464p0.60.3,3806,3806,3806.0,1
6s164.60.4,19,19,19.0,1
6s194.60.48,943,943,943.0,1
6s164.60.15,18,18,18.0,1
6s194.60.1,1338,1338,1338.0,1
6s43.60.5,2516,2516,2516.0,1
6s326rb08.60.39,4482,4482,4482.0,1
139442p0.60.13,74,74,74.0,1
6s317b14.60.53,10157,10157,10157.0,1
6s317b14.60.26,1,9807,4904.0,2
6s421rb083.60.2,2714,2714,2714.0,1
6s43.60.1,2829,2829,2829.0,1
139443p0.60.55,1,280,140.5,2
139444p0.60.39,1,472,236.5,2
6s277rb292.60.24,2237,2237,2237.0,1
6s159.60.16,21,21,21.0,1
139453p0.60.20,1005,1005,1005.0,1
6s275rb318.60.40,1,1637,819.0,2
139452p0.60.37,265,265,265.0,1
6s325rb072.60.49,1145,1145,1145.0,1
6s325rb072.60.22,1455,1455,1455.0,1
139453p0.60.47,1326,1326,1326.0,1
139463p0.60.30,1595,1595,1595.0,1
6s372rb26.60.3,320,320,320.0,1
139462p0.60.34,1444,1444,1444.0,1
139454p0.60.8,1080,1080,1080.0,1
6s391rb379.60.3,1399,1399,1399.0,1
6s277rb292.60.18,1725,1725,1725.0,1
139453p0.60.21,1,1032,516.5,2
6s275rb318.60.38,1,2378,1189.5,2
6s325rb072.60.48,1073,1073,1073.0,1
139452p0.60.41,262,262,262.0,1
6s325rb072.60.1,1518,1518,1518.0,1
139463p0.60.2,1601,1601,1601.0,1
139453p0.60.4,1309,1309,1309.0,1
139443p0.60.12,276,276,276.0,1
6s326rb08.60.52,5136,5136,5136.0,1
139442p0.60.35,74,74,74.0,1
6s372rb26.60.39,302,302,302.0,1
6s391rb379.60.39,1467,1467,1467.0,1
6s317b14.60.36,1,10208,5104.5,2
139464p0.60.39,5477,5477,5477.0,1
6s164.60.47,19,19,19.0,1
139444p0.60.16,522,522,522.0,1
6s159.60.9,21,21,21.0,1
6s194.60.49,938,938,938.0,1
6s194.60.22,1344,1344,1344.0,1
6s43.60.55,3652,3652,3652.0,1
6s326rb08.60.3,5378,5378,5378.0,1
6s43.60.22,3305,3305,3305.0,1
6s362rb1.60.8,516,516,516.0,1
6s421rb083.60.30,2626,2626,2626.0,1
6s362rb1.60.1,520,520,520.0,1
139442p0.60.55,78,78,78.0,1
6s275rb318.60.23,1967,1967,1967.0,1
6s325rb072.60.33,1454,1454,1454.0,1
139453p0.60.28,1156,1156,1156.0,1
