instance_name,K,formula_size,proofdoor_size,largest_interpolant_size,ratio,y_mode,y_value
intel001,3,0,0,0,nan,max_dependence,1.0
intel001,4,0,0,0,nan,max_dependence,1.0
intel001,5,0,0,0,nan,max_dependence,1.0
intel001,6,0,0,0,nan,max_dependence,1.0
intel001,7,0,0,0,nan,max_dependence,1.0
intel001,8,0,0,0,nan,max_dependence,1.0
intel001,9,0,0,0,nan,max_dependence,1.0
intel061,1,0,0,0,nan,max_dependence,1.0
intel061,2,0,0,0,nan,max_dependence,1.0
kenflashp01,1,0,0,0,nan,max_dependence,0.0
kenflashp01,2,0,0,0,nan,max_dependence,0.0
kenflashp01,3,0,0,0,nan,max_dependence,0.0
kenflashp01,4,0,0,0,nan,max_dependence,0.0
kenflashp01,5,0,0,0,nan,max_dependence,0.0
kenflashp01,6,0,0,0,nan,max_dependence,0.0
kenflashp01,7,0,0,0,nan,max_dependence,0.0
kenflashp01,8,0,0,0,nan,max_dependence,0.0
kenflashp01,9,0,0,0,nan,max_dependence,0.0
kenflashp03,1,0,0,0,nan,max_dependence,0.0
kenflashp03,2,0,0,0,nan,max_dependence,0.0
kenflashp03,3,0,0,0,nan,max_dependence,0.0
kenflashp03,4,0,0,0,nan,max_dependence,0.0
kenflashp03,5,0,0,0,nan,max_dependence,0.0
kenflashp03,6,0,0,0,nan,max_dependence,0.0
kenflashp03,7,0,0,0,nan,max_dependence,0.0
kenflashp03,8,0,0,0,nan,max_dependence,0.0
kenflashp03,9,0,0,0,nan,max_dependence,0.0
kenflashp04,1,0,0,0,nan,max_dependence,0.0
kenflashp04,2,0,0,0,nan,max_dependence,0.0
kenflashp04,3,0,0,0,nan,max_dependence,0.0
kenflashp04,4,0,0,0,nan,max_dependence,0.0
kenflashp04,5,0,0,0,nan,max_dependence,0.0
kenflashp04,6,0,0,0,nan,max_dependence,0.0
kenflashp04,7,0,0,0,nan,max_dependence,0.0
kenflashp04,8,0,0,0,nan,max_dependence,0.0
kenflashp04,9,0,0,0,nan,max_dependence,0.0
kenflashp07,1,0,0,0,nan,max_dependence,0.0
kenflashp07,2,0,0,0,nan,max_dependence,0.0
kenflashp07,3,0,0,0,nan,max_dependence,0.0
kenflashp07,4,0,0,0,nan,max_dependence,0.0
kenflashp07,5,0,0,0,nan,max_dependence,0.0
kenflashp07,6,0,0,0,nan,max_dependence,0.0
kenflashp07,7,0,0,0,nan,max_dependence,0.0
kenflashp07,8,0,0,0,nan,max_dependence,0.0
kenflashp07,9,0,0,0,nan,max_dependence,0.0
kenflashp08,1,0,0,0,nan,max_dependence,0.0
kenflashp08,2,0,0,0,nan,max_dependence,0.0
kenflashp08,3,0,0,0,nan,max_dependence,0.0
kenflashp08,4,0,0,0,nan,max_dependence,0.0
kenflashp08,5,0,0,0,nan,max_dependence,0.0
kenflashp08,6,0,0,0,nan,max_dependence,0.0
kenflashp08,7,0,0,0,nan,max_dependence,0.0
kenflashp08,8,0,0,0,nan,max_dependence,0.0
kenflashp08,9,0,0,0,nan,max_dependence,0.0
kenflashp09,1,0,0,0,nan,max_dependence,0.0
kenflashp09,2,0,0,0,nan,max_dependence,0.0
kenflashp10,1,0,0,0,nan,max_dependence,0.0
kenflashp10,2,0,0,0,nan,max_dependence,0.0
kenflashp13,1,0,0,0,nan,max_dependence,0.0
kenflashp13,2,0,0,0,nan,max_dependence,0.0
kenflashp13,3,0,0,0,nan,max_dependence,0.0
kenflashp13,4,0,0,0,nan,max_dependence,0.0
kenflashp13,5,0,0,0,nan,max_dependence,0.0
kenflashp13,6,0,0,0,nan,max_dependence,0.0
kenflashp13,7,0,0,0,nan,max_dependence,0.0
kenflashp13,8,0,0,0,nan,max_dependence,0.0
kenflashp13,9,0,0,0,nan,max_dependence,0.0
ndista128,1,0,0,0,nan,max_dependence,0.0
ndista128,2,0,0,0,nan,max_dependence,0.0
ndista128,3,0,0,0,nan,max_dependence,0.0
ndista128,4,0,0,0,nan,max_dependence,0.0
ndista128,5,0,0,0,nan,max_dependence,0.0
ndista128,6,0,0,0,nan,max_dependence,0.0
ndista128,7,0,0,0,nan,max_dependence,0.0
ndista128,8,0,0,0,nan,max_dependence,0.0
ndista128,9,0,0,0,nan,max_dependence,0.0
ndista262144,1,0,0,0,nan,max_dependence,0.0
ndista262144,2,0,0,0,nan,max_dependence,0.0
ndista262144,3,0,0,0,nan,max_dependence,0.0
ndista262144,4,0,0,0,nan,max_dependence,0.0
ndista262144,5,0,0,0,nan,max_dependence,0.0
ndista262144,6,0,0,0,nan,max_dependence,0.0
ndista262144,7,0,0,0,nan,max_dependence,0.0
