instance,K,tag,growth_class,max_spd,min_spd,last_spd,peak_ratio,n_computed,completeness
139453p0,10,linear,sub-exponential,796,97,796,8.206185567010309,4,partial
oski15a01b24s,10,linear,sub-exponential,81766,14547,81766,5.62081528837561,2,partial
oski15a01b35s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
oski15a01b69s,10,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
beemcycschd3b1,10,linear,exponential,1842,3,1842,614.0,2,partial
6s164,10,linear,sub-exponential,2462,328,936,7.5060975609756095,3,partial
oski15a14b09s,10,linear,sub-exponential,27186,2745,27186,9.903825136612022,2,partial
oski15a01b04s,10,linear,sub-exponential,70251,14547,70251,4.829243142916066,2,partial
oski15a10b17s,10,linear,sub-exponential,8710,2098,8710,4.151572926596759,2,partial
oski15a01b15s,10,linear,sub-exponential,82557,14547,82557,5.675190760981645,2,partial
oski15a01b21s,10,linear,sub-exponential,82346,14547,82346,5.660686052106963,2,partial
oski15a14b07s,10,linear,sub-exponential,27223,2745,27223,9.917304189435336,2,partial
beemlup1b1,5,linear,exponential,5358,4,5358,1339.5,2,partial
139442p0,5,linear,exponential,43295,63,1489,687.2222222222222,5,complete
cal33,5,exponential,exponential,3732,2,3732,1866.0,2,partial
oski15a01b44s,5,exponential,sub-exponential,79019,14547,79019,5.431979102220389,2,partial
beemfrogs4f1,5,exponential,exponential,5250,258,5250,20.348837209302324,2,partial
arbitrated_top_n5_w8_d32_e0,5,exponential,sub-exponential,7487,1418,2726,5.2799717912552895,5,complete
6s20,5,exponential,exponential,74375,282,74375,263.7411347517731,2,partial
arbitrated_top_n4_w16_d32_e0,5,exponential,sub-exponential,834084,2170,3202,384.3705069124424,5,complete
arbitrated_top_n3_w8_d16_e0,5,exponential,sub-exponential,9075,461,1420,19.685466377440346,5,complete
oski15a01b42s,5,exponential,sub-exponential,79019,14547,79019,5.431979102220389,2,partial
oski3b0i,5,exponential,exponential,330,7,330,47.142857142857146,5,complete
cal119,5,exponential,exponential,57854,2,57854,28927.0,2,partial
beemadd4b1,5,exponential,exponential,899,18,899,49.94444444444444,2,partial
zipcpu-busdelay-p43,5,linear,sub-exponential,1592,630,1592,2.526984126984127,2,partial
arbitrated_top_n3_w16_d128_e0,5,exponential,constant,8159,6268,7210,1.301691129546905,5,complete
arbitrated_top_n3_w8_d128_e0,5,exponential,constant,6233,3188,4292,1.9551442910915935,5,complete
