instance_name,K,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size,cadical_solving_time
intel040,13,exponential,4259994,42,101428.43,1,4,
intel040,14,exponential,4563600,36,126766.67,1,3,
intel040,15,exponential,4867206,38,128084.37,1,3,
intel040,16,exponential,5170812,43,120251.44,1,3,
irstdme5,1,exponential,7059,2,3529.50,2,2,
irstdme5,2,exponential,10506,7,1500.86,3,4,
irstdme5,3,exponential,13953,14,996.64,2,8,
irstdme5,4,exponential,17400,21,828.57,2,9,
irstdme5,5,exponential,20847,39,534.54,3,10,
irstdme5,6,exponential,24294,90,269.93,3,29,
irstdme5,7,exponential,27741,187,148.35,3,78,
irstdme5,8,exponential,31188,309,100.93,3,185,
irstdme5,9,exponential,34635,550,62.97,3,120,
irstdme5,10,exponential,38082,862,44.18,3,265,
irstdme5,11,exponential,41529,4554,9.12,3,1820,
irstdme5,12,exponential,44976,478,94.09,2,158,
irstdme5,13,exponential,48423,3842,12.60,3,874,
irstdme5,14,exponential,51870,53513,0.97,3,19894,
irstdme5,15,exponential,55317,540,102.44,2,101,
irstdme6,1,exponential,10529,2,5264.50,2,2,
irstdme6,2,exponential,15671,6,2611.83,2,4,
irstdme6,3,exponential,20813,14,1486.64,2,7,
irstdme6,4,exponential,25955,48,540.73,2,30,
irstdme6,5,exponential,31097,38,818.34,3,13,
irstdme6,6,exponential,36239,83,436.61,3,31,
irstdme6,7,exponential,41381,99,417.99,3,28,
irstdme6,8,exponential,46523,153,304.07,3,74,
irstdme6,9,exponential,51665,431,119.87,3,111,
irstdme6,10,exponential,56807,636,89.32,3,197,
irstdme6,11,exponential,61949,3378,18.34,3,1153,
irstdme6,12,exponential,67091,6618,10.14,3,1665,
irstdme6,13,exponential,72233,34083,2.12,3,19520,
irstdme6,14,exponential,77375,17873,4.33,3,4283,
mentorbm1and,1,exponential,194565,1444,134.74,1444,1444,
mentorbm1and,2,exponential,289659,35,8275.97,15,20,
mentorbm1and,3,exponential,384753,312,1233.18,14,173,
mentorbm1and,4,exponential,479847,457,1049.99,18,216,
mentorbm1and,5,exponential,574941,536,1072.65,17,188,
mentorbm1and,6,exponential,670035,3400,197.07,28,1752,
mentorbm1and,7,exponential,765129,3184,240.30,58,1475,
mentorbm1and,8,exponential,860223,4559,188.69,39,1684,
mentorbm1and,9,exponential,955317,5891,162.17,40,2173,
oski15a01b02s,1,exponential,1864547,1,1864547.00,1,1,
oski15a01b02s,2,exponential,2783963,2,1391981.50,1,1,
oski15a01b02s,3,exponential,3703379,3,1234459.67,1,1,
oski15a01b02s,4,exponential,4622795,4,1155698.75,1,1,
oski15a01b02s,5,exponential,5542211,22,251918.68,1,18,
oski15a01b42s,1,exponential,1864547,1,1864547.00,1,1,
oski15a01b42s,2,exponential,2783963,2,1391981.50,1,1,
oski15a01b42s,3,exponential,3703379,3,1234459.67,1,1,
oski15a01b42s,4,exponential,4622795,4,1155698.75,1,1,
oski15a01b42s,5,exponential,5542211,22,251918.68,1,18,
oski15a01b44s,1,exponential,1864547,2,932273.50,2,2,
oski15a01b44s,2,exponential,2783963,2,1391981.50,1,1,
oski15a01b44s,3,exponential,3703379,3,1234459.67,1,1,
oski15a01b44s,4,exponential,4622795,4,1155698.75,1,1,
oski15a01b44s,5,exponential,5542211,22,251918.68,1,18,
pdtvisgigamax3,1,exponential,6448,1,6448.00,1,1,
pdtvisgigamax3,2,exponential,9664,14,690.29,2,12,
pdtvisgigamax3,3,exponential,12880,27,477.04,3,13,
pdtvisgigamax3,4,exponential,16096,418,38.51,3,303,
pdtvisgigamax3,5,exponential,19312,618,31.25,3,365,
pdtvisgigamax3,6,exponential,22528,1075,20.96,2,813,
pdtvisgigamax3,7,exponential,25744,2067,12.45,2,1465,
pdtvisgigamax3,8,exponential,28960,1505,19.24,2,641,
pdtvisgigamax3,9,exponential,32176,1098,29.30,2,555,
qspiflash_dualflexpress_divfive-p120,1,exponential,17637,1,17637.00,1,1,
qspiflash_dualflexpress_divfive-p120,2,exponential,26286,2,13143.00,1,1,
qspiflash_dualflexpress_divfive-p120,3,exponential,34935,35,998.14,1,17,
qspiflash_dualflexpress_divfive-p120,4,exponential,43584,53,822.34,1,18,
qspiflash_dualflexpress_divfive-p120,5,exponential,52233,71,735.68,2,18,
qspiflash_dualflexpress_divfive-p120,6,exponential,60882,90,676.47,2,19,
qspiflash_dualflexpress_divfive-p120,7,exponential,69531,111,626.41,2,20,
qspiflash_dualflexpress_divfive-p120,8,exponential,78180,817,95.69,2,460,
qspiflash_dualflexpress_divfive-p120,9,exponential,86829,524,165.70,2,272,
qspiflash_dualflexpress_divfive-p120,10,exponential,95478,551,173.28,2,212,
qspiflash_dualflexpress_divfive-p120,11,exponential,104127,553,188.29,2,173,
qspiflash_dualflexpress_divfive-p120,12,exponential,112776,1184,95.25,2,374,
qspiflash_dualflexpress_divfive-p120,13,exponential,121425,821,147.90,2,196,
