instance_name,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size
oski2b4i,linear,5841251,37,157871.65,1,5,success (10/10),not available,not available,,not available,not available,
oski2b5i,linear,5841251,37,157871.65,1,5,success (10/10),not available,not available,,not available,not available,
oski3b3i,linear,1183801,36,32883.36,1,5,success (10/10),not available,not available,,not available,not available,
pcip1,linear,66125,not started,,NA,NA,not started,not available,not available,,not available,not available,
pdtpmsrotate32,linear,39268,5013,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
pdtpmss1269b,linear,26968,442,,NA,NA,partial done (3/10),not available,not available,,not available,not available,
pdtpmsusbphy,linear,24617,3,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
pdtswvsam6x8p1,linear,272642,58,4700.72,1,14,success (10/10),not available,not available,,not available,not available,
pdtvisblackjack0,linear,114416,624,183.36,2,87,success (10/10),not available,not available,,not available,not available,
pdtvisblackjack1,linear,114548,613,186.86,2,86,success (10/10),not available,not available,,not available,not available,
pdtvisblackjack2,linear,114548,618,185.35,1,87,success (10/10),not available,not available,,not available,not available,
pdtviscoherence4,linear,70426,9817,7.17,2,3196,success (10/10),not available,not available,,not available,not available,
pdtvisgigamax4,linear,35392,1124,31.49,2,484,success (10/10),not available,not available,,not available,not available,
pdtvisgray0,linear,401,2,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
pdtvishuffman1,linear,31934,not started,,NA,NA,not started,not available,not available,,not available,not available,
pdtvisminmax0,linear,17651,not started,,NA,NA,not started,not available,not available,,not available,not available,
pdtvisminmaxr1,linear,17617,2120,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
pdtvisns2p3,linear,83301,15,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
pdtvisretherrtf1,linear,41857,255,164.15,3,38,success (10/10),not available,not available,,not available,not available,
pdtvisrethersqo0,linear,26283,not started,,NA,NA,not started,not available,not available,,not available,not available,
pdtvistwoall3,linear,56595,160,353.72,16,16,success (10/10),not available,not available,,not available,not available,
pdtvisvending09,linear,31450,not started,,NA,NA,not started,not available,not available,,not available,not available,
pdtvisvsa16a10,linear,207245,26,7970.96,1,3,success (10/10),not available,not available,,not available,not available,
pdtvisvsa16a16,linear,206288,not started,,NA,NA,not started,not available,not available,,not available,not available,
pdtvisvsa16a27,linear,207872,349,595.62,3,66,success (10/10),not available,not available,,not available,not available,
pdtvisvsar22,linear,69529,10,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
pdtvsar8multip13,linear,165360,28,5905.71,1,3,success (10/10),not available,not available,,not available,not available,
pdtvsar8multip16,linear,165162,not started,,NA,NA,not started,not available,not available,,not available,not available,
pdtvsar8multip23,linear,165195,22,7508.86,1,3,success (10/10),not available,not available,,not available,not available,
pdtvsarmultip08,linear,70156,26,2698.31,1,3,success (10/10),not available,not available,,not available,not available,
pdtvsarmultip13,linear,69529,28,2483.18,1,3,success (10/10),not available,not available,,not available,not available,
