instance_name,best_model,best_r2_score
pdtvisminmax0,linear,0.9451283504584372
6s4,linear,0.9947428409895118
zipcpu-busdelay-p00,exponential,0.9731736557041885
picorv32_mutAX_nomem-p2,exponential,0.9994803867372815
pdtvsarmultip13,linear,0.9977917328210577
beemptrsn1b1,linear,0.9677360074324096
6s209b0,linear,0.9994531769942675
bobtuint19neg,linear,0.9589710596633242
arbitrated_top_n3_w8_d128_e0,exponential,0.9954324408761468
6s206rb103,linear,0.9953516337261803
pcip1,linear,-1.0
srg5ptimo,linear,-1.0
pdtvistwoall3,linear,0.9907843412531153
zipcpu-pfcache-p13,linear,0.9968541037266093
kenflashp07,linear,0.9941948871532019
circular_pointer_top_w16_d32_e0,polynomial,0.96931699840253
picorv32_mutAY_nomem-p6,exponential,0.9997894215277003
cal21,exponential,0.9876875962530893
6s404rb1,polynomial,0.9870999228988546
picorv32-check-p12,linear,0.9409685100077639
arbitrated_top_n2_w8_d16_e0,polynomial,0.9856357086898527
139444p0,linear,0.9989317070141766
cal106,exponential,0.9991900053997643
intel004,polynomial,0.9806413921546779
6s205b20,linear,0.998405480426593
csmacdp2,linear,0.9524781341107872
cal97,exponential,0.999496771035789
intel061,linear,0.9232776278690675
zipcpu-busdelay-p46,exponential,0.9779779853548629
kenflashp04,linear,0.9956961480957364
nusmvreactorp4,polynomial,0.9578485062181126
h_TreeArb,polynomial,0.9852157753650367
simple_alu,polynomial,0.9935361273726234
qspiflash_qflexpress_divfive-p094,polynomial,0.9877894322437054
oski15a01b63s,linear,0.9968261901900651
6s406rb067,linear,0.9808625927645617
oski2b1i,linear,0.9803591790193843
bjrb07amba4andenv,polynomial,0.9876161210892678
power2eq65536,polynomial,0.9928846725478966
power2sum128,polynomial,0.9874786960368814
nusmvguidancep8,polynomial,0.9848616739897366
qspiflash_dualflexpress_divfive-p161,polynomial,0.9809368775902713
cal117,exponential,0.9945949022675108
oski15a01b27s,linear,0.9995065657574382
arbitrated_top_n4_w16_d16_e0,polynomial,0.9884723248578724
dspfilters_fastfir_second-p25,polynomial,0.9326665573673267
picorv32-check-p20,polynomial,0.9780932219208752
